FAQ,FAQ
"FAQ Page","FAQ Page"
"Could not save the FAQ: %1","Could not save the FAQ: %1"
"FAQ with id ""%1"" does not exist.","FAQ with id ""%1"" does not exist."
"Could not delete the FAQ: %1","Could not delete the FAQ: %1"
"Frequently Asked Questions","Frequently Asked Questions"
